System Of A Down,alternative metal,0,https://i.scdn.co/image/76245f096873524d6b507c093854a41fb90b9ae0,5eAWCfyUhZtHHtBdNk56l1
Ele A El Dominio,reggaeton flow,0,https://i.scdn.co/image/9c22e5bf90c5ff59509182c8718a74e98c411871,4SzD0wClEg9NKVJZbCRFqS
A$AP Rocky,east coast hip hop,0,https://i.scdn.co/image/cce607c4d975ae49d68b484eaef51a6413fa73b1,13ubrt8QOOCPljQ2FL1Kca
a-ha,dance rock,0,https://i.scdn.co/image/528c24e536180c6e47316a46f6717c1fc94d0677,2jzc5TC5TVFLXQlBNiIUzE
A Boogie Wit da Hoodie,rap,0,https://i.scdn.co/image/6a7ee0cf6328bfdd8b7fe441523dee08c9c1e542,31W5EY0aAly4Qieq6OFu6I
Ysy A,argentine hip hop,0,https://i.scdn.co/image/e288c18ee0ee5bb870d87ec38a9e033fe9d25455,2qWK8K2Jfh67UqtwY8tCW6
Golpe a Golpe,latin,0,https://i.scdn.co/image/8aad8ce21f09d4567c3db5ace1042034b74afb3d,0nqpXa8bkBlWgS9FKhNCuj
A Great Big World,neo mellow,0,https://i.scdn.co/image/7954fb92b75d26246fa2fb6927601a76a93b43ef,5xKp3UyavIBUsGy3DQdXeF
A Day To Remember,metalcore,0,https://i.scdn.co/image/9a3b98dc87627c63a08a56176048dce612ded8e7,4NiJW4q9ichVqL1aUsgGAN
Antonio Vivaldi,baroque,0,https://i.scdn.co/image/9785700bae86f991f78183076861c7342a4bcf90,2QOIawHpSlOwXDvSqQ9YJR
A Perfect Circle,alternative metal,0,https://i.scdn.co/image/7802c0c19c9d46280366f7530cb28a7be25b1b90,4DFhHyjvGYa9wxdHUjtDkc
A R I Z O N A,deep tropical house,0,https://i.scdn.co/image/ee13e34831e1e569f2030e06763f62a62be1c6c9,7hOGhpa8RMSuDOWntGIAJt
Wolfgang Amadeus Mozart,classical,0,https://i.scdn.co/image/9bf940bd1f89a20b349c0f74d06cff0106532f65,4NJhFmfw43RLBLjQvxDuRS
